Modality,Metric,CI Lower,CI Upper,Mean Effect Size,Group,Brain Feature,Brain Region,Variable Name
cortical_surface_area,reconstruction_deviation_63,0.004230140399138401,0.16585783614045105,0.08083191031064282,inter_test,mrisdp_366,L S_orbital-H_Shaped,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI orbital sulci
cortical_surface_area,reconstruction_deviation_63,0.07316529938008093,0.22268829577935334,0.14988574186124207,high_test,mrisdp_366,L S_orbital-H_Shaped,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI orbital sulci
cortical_surface_area,reconstruction_deviation_64,0.0208248264597795,0.1595085192471881,0.09526032889119863,high_test,mrisdp_367,L S_parieto_occipital,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI parieto-occipital sulcus
cortical_surface_area,reconstruction_deviation_65,0.09665071770334928,0.19456706281833616,0.14256051859854915,exter_test,mrisdp_368,L S_pericallosal,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI pericallosal sulcus
cortical_surface_area,reconstruction_deviation_67,0.008500686736701436,0.10946954229926872,0.05718304317160994,high_test,mrisdp_370,L S_precentral-inf-part,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI inferior part of the precentral sulcus
cortical_surface_area,reconstruction_deviation_71,0.009847198641765705,0.1537582960333385,0.0834288624787776,exter_test,mrisdp_374,L S_temporal_inf,Cortical area in mm^2 for left hemisphere cortical Destrieux ROI inferior temporal sulcus
cortical_surface_area,reconstruction_deviation_76,0.02423213458867109,0.15351134434326286,0.09281673097700263,exter_test,mrisdp_379,R G_and_S_paracentral,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI paracentral lobule and sulcus
cortical_surface_area,reconstruction_deviation_79,0.008674178113906467,0.10671399907393116,0.053253650254668924,exter_test,mrisdp_382,R G_and_S_cingul-Ant,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI anterior part of the cingulate gyrus and sulcus
cortical_surface_area,reconstruction_deviation_82,0.03639450532489582,0.1403611668467356,0.0916261151412255,exter_test,mrisdp_385,R G_cingul-Post-dorsal,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI posterior-dorsal part of the cingulate gyrus
cortical_surface_area,reconstruction_deviation_86,0.03153141463161446,0.1259439960553292,0.07749186411647159,inter_test,mrisdp_389,R G_front_inf-Orbital,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI orbital part of the inferior frontal gyrus
cortical_surface_area,reconstruction_deviation_91,0.0019463836192354605,0.08696442010744038,0.0478979056912257,inter_test,mrisdp_394,R G_insular_short,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI short insular gyri
cortical_surface_area,reconstruction_deviation_95,0.04948294489890415,0.18339249884241396,0.12010816484025312,exter_test,mrisdp_398,R G_oc-temp_med-Lingual,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI lingual gyrus
cortical_surface_area,reconstruction_deviation_95,0.0018189242362374252,0.15468280188574185,0.060600764690597275,high_test,mrisdp_398,R G_oc-temp_med-Lingual,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI lingual gyrus
cortical_surface_area,reconstruction_deviation_98,0.021206976385244637,0.1615372742707208,0.07244636517981169,exter_test,mrisdp_401,R G_pariet_inf-Angular,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI angular gyrus
cortical_surface_area,reconstruction_deviation_99,0.007906752292215746,0.16745239244218418,0.08504695794201714,high_test,mrisdp_402,R G_pariet_inf-Supramar,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI supramarginal gyrus
cortical_surface_area,reconstruction_deviation_103,0.0018944800560558481,0.13430046972724677,0.07720130796979213,inter_test,mrisdp_406,R G_precuneus,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI precuneus
cortical_surface_area,reconstruction_deviation_104,0.035376220349678904,0.13434054716210697,0.09339893834218048,high_test,mrisdp_407,R G_rectus,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI gyrus rectus
cortical_surface_area,reconstruction_deviation_105,0.015156659978391726,0.1273962031177651,0.05957215619694397,exter_test,mrisdp_408,R G_subcallosal,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI subcallosal gyrus
cortical_surface_area,reconstruction_deviation_108,0.005683440168167545,0.08291594217943062,0.040163703838268505,inter_test,mrisdp_411,R G_temp_sup-Plan_polar,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus
cortical_surface_area,reconstruction_deviation_108,0.052693316869887326,0.14147244945207593,0.09521068066059576,exter_test,mrisdp_411,R G_temp_sup-Plan_polar,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI planum polare of the superior temporal gyrus
cortical_surface_area,reconstruction_deviation_109,0.10975008434329017,0.23354008252666544,0.16887867542106766,inter_test,mrisdp_412,R G_temp_sup-Plan_tempo,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI planum temporale
cortical_surface_area,reconstruction_deviation_111,0.03567318757192175,0.19017038494376184,0.12011789598723041,high_test,mrisdp_414,R G_temporal_middle,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI middle temporal gyrus
cortical_surface_area,reconstruction_deviation_113,0.00508556368090872,0.12142247299454323,0.06480181150005569,high_test,mrisdp_416,R Lat_Fis-ant-Vertical,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI vertical ramus of the anterior segment of the lateral sulcus
cortical_surface_area,reconstruction_deviation_122,0.041315564794535804,0.16789784327554846,0.10750666320204909,high_test,mrisdp_425,R S_circular_insula_sup,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI superior segment of the circular sulcus of the insula
cortical_surface_area,reconstruction_deviation_124,0.024355610433708905,0.10887482636209292,0.06812971137521222,exter_test,mrisdp_427,R S_collat_transv_post,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI posterior transverse collateral sulcus
cortical_surface_area,reconstruction_deviation_124,0.04079587215561083,0.1491146664686885,0.09975455659081629,high_test,mrisdp_427,R S_collat_transv_post,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI posterior transverse collateral sulcus
cortical_surface_area,reconstruction_deviation_125,0.021418760904265192,0.1759159582761053,0.10153472660455103,high_test,mrisdp_428,R S_front_inf,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI inferior frontal sulcus
cortical_surface_area,reconstruction_deviation_128,0.015026081540497754,0.09999221446552306,0.054443619754496145,inter_test,mrisdp_431,R S_interm_prim-Jensen,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI sulcus intermedius primus
cortical_surface_area,reconstruction_deviation_130,0.010510471543871486,0.11571899410894558,0.0717558456388031,inter_test,mrisdp_433,R S_oc_middle_and_Lunatus,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI middle occipital sulcus and lunatus sulcus
cortical_surface_area,reconstruction_deviation_130,0.04124132298897509,0.15045101896878132,0.0945922268829578,high_test,mrisdp_433,R S_oc_middle_and_Lunatus,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI middle occipital sulcus and lunatus sulcus
cortical_surface_area,reconstruction_deviation_131,0.03672177094957569,0.15205148833467416,0.10220849661329251,inter_test,mrisdp_434,R S_oc_sup_and_transversal,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI superior occipital sulcus and transverse occipital sulcus
cortical_surface_area,reconstruction_deviation_132,0.04429969117379908,0.1478992032803052,0.09477777489424648,inter_test,mrisdp_435,R S_occipital_ant,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI anterior occipital sulcus and preoccipital notch
cortical_surface_area,reconstruction_deviation_133,0.011822812162370737,0.11690075628955085,0.07310134279981478,exter_test,mrisdp_436,R S_oc-temp_lat,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI lateral occipito-temporal sulcus
cortical_surface_area,reconstruction_deviation_134,0.029974307736226093,0.15148054913969844,0.08747182934108427,inter_test,mrisdp_437,R S_oc-temp_med_and_Lingual,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI medial occipito-temporal sulcus and lingual sulcus
cortical_surface_area,reconstruction_deviation_134,0.010876424514644196,0.1292178625784179,0.06571431753220239,high_test,mrisdp_437,R S_oc-temp_med_and_Lingual,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI medial occipito-temporal sulcus and lingual sulcus
cortical_surface_area,reconstruction_deviation_136,0.006266399135669085,0.11183824664300046,0.0596509337860781,exter_test,mrisdp_439,R S_orbital_med-olfact,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI medial orbital sulcus
cortical_surface_area,reconstruction_deviation_136,0.006347674375440811,0.1279557518838858,0.056550428746427114,high_test,mrisdp_439,R S_orbital_med-olfact,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI medial orbital sulcus
cortical_surface_area,reconstruction_deviation_137,0.0014273479874393378,0.19175771416707757,0.10186183271481587,inter_test,mrisdp_440,R S_orbital-H_Shaped,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI orbital sulci
cortical_surface_area,reconstruction_deviation_137,0.03003549930544837,0.1624633431085044,0.10232430930699181,exter_test,mrisdp_440,R S_orbital-H_Shaped,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI orbital sulci
cortical_surface_area,reconstruction_deviation_138,0.09818478785404061,0.2413972307806526,0.18073796354727348,high_test,mrisdp_441,R S_parieto_occipital,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI parieto-occipital sulcus
cortical_surface_area,reconstruction_deviation_142,0.044482173174872665,0.1659206667695632,0.10555542521994135,exter_test,mrisdp_445,R S_precentral-sup-part,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI superior part of the precentral sulcus
cortical_surface_area,reconstruction_deviation_143,0.027482936703604702,0.1005631536604988,0.061555705499182524,inter_test,mrisdp_446,R S_suborbital,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI suborbital sulcus
cortical_surface_area,reconstruction_deviation_146,0.0772032721098935,0.1949374903534496,0.1390573236610588,exter_test,mrisdp_449,R S_temporal_sup,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI superior temporal sulcus
cortical_surface_area,reconstruction_deviation_147,0.0549776200030869,0.16443895662910943,0.11127087513505171,exter_test,mrisdp_450,R S_temporal_transverse,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI transverse temporal sulcus
cortical_surface_area,reconstruction_deviation_147,0.09209695979806229,0.2103641560562753,0.1543513122239133,high_test,mrisdp_450,R S_temporal_transverse,Cortical area in mm^2 for right hemisphere cortical Destrieux ROI transverse temporal sulcus
