Modality,Metric,CI Lower,CI Upper,Mean Effect Size,Group,Brain Feature,Brain Region,Variable Name
cortical_thickness,reconstruction_deviation_59,0.006257154954757163,0.1385512882839086,0.07649386046073989,high_test,mrisdp_60,L S_oc-temp_lat,Cortical thickness in mm for left hemisphere cortical Destrieux ROI lateral occipito-temporal sulcus
cortical_thickness,reconstruction_deviation_63,0.04614676910692091,0.11593529809848595,0.07929803656179368,inter_test,mrisdp_64,L S_orbital-H_Shaped,Cortical thickness in mm for left hemisphere cortical Destrieux ROI orbital sulci
cortical_thickness,reconstruction_deviation_64,0.048729891234635066,0.12392351481535542,0.08238889257485082,inter_test,mrisdp_65,L S_parieto_occipital,Cortical thickness in mm for left hemisphere cortical Destrieux ROI parieto-occipital sulcus
cortical_thickness,reconstruction_deviation_67,0.011619626420385434,0.09518185799020713,0.04743904672177916,inter_test,mrisdp_68,L S_precentral-inf-part,Cortical thickness in mm for left hemisphere cortical Destrieux ROI inferior part of the precentral sulcus
cortical_thickness,reconstruction_deviation_67,0.012594260578131546,0.13047235023041476,0.06922976015919563,exter_test,mrisdp_68,L S_precentral-inf-part,Cortical thickness in mm for left hemisphere cortical Destrieux ROI inferior part of the precentral sulcus
cortical_thickness,reconstruction_deviation_68,0.013282732447817837,0.13489293754948403,0.07492986204181651,inter_test,mrisdp_69,L S_precentral-sup-part,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior part of the precentral sulcus
cortical_thickness,reconstruction_deviation_68,0.037049643904482614,0.19857561793045664,0.11159470569752827,exter_test,mrisdp_69,L S_precentral-sup-part,Cortical thickness in mm for left hemisphere cortical Destrieux ROI superior part of the precentral sulcus
cortical_thickness,reconstruction_deviation_71,0.010920768036517562,0.08426551310801786,0.049033240004777004,inter_test,mrisdp_72,L S_temporal_inf,Cortical thickness in mm for left hemisphere cortical Destrieux ROI inferior temporal sulcus
cortical_thickness,reconstruction_deviation_73,0.006002220423472795,0.07858618295050933,0.04450015259882433,inter_test,mrisdp_74,L S_temporal_transverse,Cortical thickness in mm for left hemisphere cortical Destrieux ROI transverse temporal sulcus
cortical_thickness,reconstruction_deviation_74,0.0037793843210438003,0.128420656452397,0.0558457195728198,high_test,mrisdp_75,R G_and_S_frontomargin,Cortical thickness in mm for right hemisphere cortical Destrieux ROI fronto-marginal gyrus and sulcus
cortical_thickness,reconstruction_deviation_75,0.04336018188010598,0.10938018338397845,0.07815508463705809,inter_test,mrisdp_76,R G_and_S_occipital_inf,Cortical thickness in mm for right hemisphere cortical Destrieux ROI inferior occipital gyrus and sulcus
cortical_thickness,reconstruction_deviation_75,0.01682688537958505,0.11581225398717204,0.0708242821522104,high_test,mrisdp_76,R G_and_S_occipital_inf,Cortical thickness in mm for right hemisphere cortical Destrieux ROI inferior occipital gyrus and sulcus
cortical_thickness,reconstruction_deviation_76,0.008001486179854302,0.10460317670943857,0.05335232635801895,inter_test,mrisdp_77,R G_and_S_paracentral,Cortical thickness in mm for right hemisphere cortical Destrieux ROI paracentral lobule and sulcus
cortical_thickness,reconstruction_deviation_78,0.003410251987102082,0.08538014799874383,0.04055722898227642,inter_test,mrisdp_79,R G_and_S_transv_frontopol,Cortical thickness in mm for right hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci
cortical_thickness,reconstruction_deviation_78,0.020894428152492667,0.13403330540427313,0.07865615835777126,exter_test,mrisdp_79,R G_and_S_transv_frontopol,Cortical thickness in mm for right hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci
cortical_thickness,reconstruction_deviation_78,0.028808004140072452,0.142565903994229,0.08732752050433609,high_test,mrisdp_79,R G_and_S_transv_frontopol,Cortical thickness in mm for right hemisphere cortical Destrieux ROI transverse frontopolar gyri and sulci
cortical_thickness,reconstruction_deviation_79,0.019461476939482806,0.14642369877836497,0.09780055514607869,high_test,mrisdp_80,R G_and_S_cingul-Ant,Cortical thickness in mm for right hemisphere cortical Destrieux ROI anterior part of the cingulate gyrus and sulcus
cortical_thickness,reconstruction_deviation_80,0.021813790832248655,0.15871845939122117,0.09286038232941803,high_test,mrisdp_81,R G_and_S_cingul-Mid-Ant,Cortical thickness in mm for right hemisphere cortical Destrieux ROI middle-anterior part of the cingulate gyrus and sulcus
cortical_thickness,reconstruction_deviation_82,0.006577230486148892,0.09543840094124724,0.04897719863943773,inter_test,mrisdp_83,R G_cingul-Post-dorsal,Cortical thickness in mm for right hemisphere cortical Destrieux ROI posterior-dorsal part of the cingulate gyrus
